station,lat,lon,date,global_radiation_flux,temperature,relative_humidity,precipitation,wind_speed
SANPANCRAZIO,44.80806,10.27245,2023-09-01T00:00:00Z,0,292.51,69,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T00:15:00Z,0,292.4,69,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T00:30:00Z,0,292.25,69,0.0,2.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T00:45:00Z,0,291.93,71,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-01T01:00:00Z,0,291.43,72,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T01:15:00Z,0,290.74,76,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-09-01T01:30:00Z,0,290.49,78,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T01:45:00Z,0,290.35,78,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-09-01T02:00:00Z,0,289.86,79,0.0,0.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T02:15:00Z,0,289.16,82,0.0,1.0
SANPANCRAZIO,44.80806,10.27245,2023-09-01T02:30:00Z,0,288.84,86,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T02:45:00Z,0,288.66,87,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-01T03:00:00Z,0,288.83,89,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T03:15:00Z,0,289.03,88,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T03:30:00Z,0,289.08,87,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-09-01T03:45:00Z,0,288.98,87,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-01T04:00:00Z,0,288.77,87,0.0,1.0
SANPANCRAZIO,44.80806,10.27245,2023-09-01T04:15:00Z,0,288.66,88,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T04:30:00Z,0,288.5,88,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T04:45:00Z,1,288.29,89,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T05:00:00Z,15,288.36,90,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T05:15:00Z,46,288.76,90,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T05:30:00Z,84,289.37,88,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-09-01T05:45:00Z,124,289.91,86,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T06:00:00Z,165,290.58,84,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T06:15:00Z,209,291.33,80,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T06:30:00Z,254,292.17,77,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T06:45:00Z,297,293.04,74,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T07:00:00Z,337,293.8,69,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T07:15:00Z,375,294.38,66,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T07:30:00Z,411,295.06,63,0.0,1.0
SANPANCRAZIO,44.80806,10.27245,2023-09-01T07:45:00Z,445,295.59,62,0.0,0.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T08:00:00Z,479,296.18,60,0.0,1.1
SANPANCRAZIO,44.80806,10.27245,2023-09-01T08:15:00Z,514,297.06,56,0.0,0.9
SANPANCRAZIO,44.80806,10.27245,2023-09-01T08:30:00Z,553,297.53,54,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-01T08:45:00Z,590,297.52,53,0.0,0.9
SANPANCRAZIO,44.80806,10.27245,2023-09-01T09:00:00Z,627,298.05,52,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-01T09:15:00Z,661,298.17,51,0.0,1.1
SANPANCRAZIO,44.80806,10.27245,2023-09-01T09:30:00Z,689,298.52,50,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T09:45:00Z,722,298.93,47,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-09-01T10:00:00Z,745,299.3,46,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T10:15:00Z,764,298.96,46,0.0,0.9
SANPANCRAZIO,44.80806,10.27245,2023-09-01T10:30:00Z,778,299.25,44,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-01T10:45:00Z,788,299.91,43,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-09-01T11:00:00Z,791,300.36,42,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-01T11:15:00Z,797,300.31,42,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T11:30:00Z,801,300.36,43,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T11:45:00Z,780,300.98,41,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-09-01T12:00:00Z,749,301.07,41,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T12:15:00Z,766,301.67,40,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-09-01T12:30:00Z,480,301.23,41,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T12:45:00Z,474,300.43,43,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-09-01T13:00:00Z,346,300.16,43,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T13:15:00Z,712,300.81,42,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-01T13:30:00Z,498,300.98,42,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T13:45:00Z,595,301.06,41,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-09-01T14:00:00Z,418,300.94,42,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T14:15:00Z,524,301.18,42,0.0,2.9
SANPANCRAZIO,44.80806,10.27245,2023-09-01T14:30:00Z,338,300.99,43,0.0,2.9
SANPANCRAZIO,44.80806,10.27245,2023-09-01T14:45:00Z,317,300.8,43,0.0,3.0
SANPANCRAZIO,44.80806,10.27245,2023-09-01T15:00:00Z,374,301.13,43,0.0,2.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T15:15:00Z,317,301.18,42,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-09-01T15:30:00Z,196,300.87,42,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-01T15:45:00Z,217,300.57,44,0.0,2.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T16:00:00Z,289,301.06,43,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-01T16:15:00Z,225,301.06,43,0.0,2.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T16:30:00Z,144,300.72,43,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T16:45:00Z,102,300.26,44,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T17:00:00Z,116,300.43,44,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-01T17:15:00Z,79,300.33,44,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-01T17:30:00Z,42,300.21,44,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-09-01T17:45:00Z,14,299.59,48,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-01T18:00:00Z,2,299.16,47,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-01T18:15:00Z,0,298.68,48,0.0,0.9
SANPANCRAZIO,44.80806,10.27245,2023-09-01T18:30:00Z,0,297.31,55,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T18:45:00Z,0,297.02,54,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-09-01T19:00:00Z,0,297.41,51,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T19:15:00Z,0,296.94,53,0.0,0.8
SANPANCRAZIO,44.80806,10.27245,2023-09-01T19:30:00Z,0,296.73,54,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T19:45:00Z,0,296.29,56,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T20:00:00Z,0,295.78,58,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-01T20:15:00Z,0,295.35,59,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T20:30:00Z,0,294.98,61,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T20:45:00Z,0,294.65,62,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-09-01T21:00:00Z,0,294.48,63,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-01T21:15:00Z,0,294.36,63,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T21:30:00Z,0,294.26,63,0.0,2.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T21:45:00Z,0,294.18,64,0.0,2.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T22:00:00Z,0,294.07,64,0.0,2.5
SANPANCRAZIO,44.80806,10.27245,2023-09-01T22:15:00Z,0,293.96,65,0.0,3.0
SANPANCRAZIO,44.80806,10.27245,2023-09-01T22:30:00Z,0,293.8,65,0.0,2.8
SANPANCRAZIO,44.80806,10.27245,2023-09-01T22:45:00Z,0,293.71,65,0.0,3.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T23:00:00Z,0,293.63,65,0.0,3.6
SANPANCRAZIO,44.80806,10.27245,2023-09-01T23:15:00Z,0,293.39,66,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-09-01T23:30:00Z,0,292.99,67,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-09-01T23:45:00Z,0,292.66,68,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-09-02T00:00:00Z,0,292.36,69,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T00:15:00Z,0,292.08,70,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T00:30:00Z,0,291.96,71,0.0,3.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T00:45:00Z,0,291.8,71,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T01:00:00Z,0,291.59,72,0.0,2.4
SANPANCRAZIO,44.80806,10.27245,2023-09-02T01:15:00Z,0,291.31,74,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T01:30:00Z,0,291.23,75,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T01:45:00Z,0,291.1,75,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-09-02T02:00:00Z,0,291.03,75,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T02:15:00Z,0,290.94,76,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-09-02T02:30:00Z,0,290.75,77,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T02:45:00Z,0,290.62,77,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T03:00:00Z,0,290.52,77,0.0,2.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T03:15:00Z,0,290.5,76,0.0,2.9
SANPANCRAZIO,44.80806,10.27245,2023-09-02T03:30:00Z,0,290.41,76,0.0,3.1
SANPANCRAZIO,44.80806,10.27245,2023-09-02T03:45:00Z,0,290.37,75,0.0,3.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T04:00:00Z,0,290.29,75,0.0,3.2
SANPANCRAZIO,44.80806,10.27245,2023-09-02T04:15:00Z,0,290.26,75,0.0,3.4
SANPANCRAZIO,44.80806,10.27245,2023-09-02T04:30:00Z,0,290.16,75,0.0,3.1
SANPANCRAZIO,44.80806,10.27245,2023-09-02T04:45:00Z,6,290.08,76,0.0,3.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T05:00:00Z,19,290.11,76,0.0,3.2
SANPANCRAZIO,44.80806,10.27245,2023-09-02T05:15:00Z,52,290.31,75,0.0,3.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T05:30:00Z,75,290.55,74,0.0,3.4
SANPANCRAZIO,44.80806,10.27245,2023-09-02T05:45:00Z,76,290.7,73,0.0,2.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T06:00:00Z,154,291.05,73,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T06:15:00Z,193,291.65,71,0.0,2.9
SANPANCRAZIO,44.80806,10.27245,2023-09-02T06:30:00Z,239,292.27,69,0.0,3.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T06:45:00Z,284,292.83,66,0.0,3.1
SANPANCRAZIO,44.80806,10.27245,2023-09-02T07:00:00Z,336,293.48,64,0.0,2.4
SANPANCRAZIO,44.80806,10.27245,2023-09-02T07:15:00Z,349,294.07,62,0.0,2.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T07:30:00Z,411,294.81,62,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-09-02T07:45:00Z,439,295.83,60,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-02T08:00:00Z,469,296.26,59,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T08:15:00Z,512,296.62,59,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-09-02T08:30:00Z,548,297.1,58,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T08:45:00Z,588,297.51,57,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T09:00:00Z,618,297.8,56,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T09:15:00Z,643,298.13,56,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T09:30:00Z,674,298.49,55,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T09:45:00Z,698,298.86,54,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T10:00:00Z,725,299.4,53,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-02T10:15:00Z,738,299.39,52,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T10:30:00Z,742,299.87,50,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T10:45:00Z,764,300.18,49,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T11:00:00Z,776,300.2,49,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-09-02T11:15:00Z,789,300.3,48,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-09-02T11:30:00Z,767,300.72,47,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T11:45:00Z,751,300.84,47,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T12:00:00Z,760,301.44,45,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T12:15:00Z,717,301.65,45,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T12:30:00Z,713,302.15,43,0.0,1.1
SANPANCRAZIO,44.80806,10.27245,2023-09-02T12:45:00Z,700,302.45,41,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T13:00:00Z,679,302.58,41,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T13:15:00Z,656,302.87,39,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-09-02T13:30:00Z,609,302.96,40,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T13:45:00Z,580,303.05,40,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T14:00:00Z,552,303.26,38,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T14:15:00Z,525,303.18,39,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T14:30:00Z,498,302.79,39,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T14:45:00Z,450,302.75,39,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-09-02T15:00:00Z,424,302.84,38,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-09-02T15:15:00Z,371,303.23,38,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T15:30:00Z,315,303.02,37,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T15:45:00Z,274,302.85,38,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T16:00:00Z,227,302.78,39,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-09-02T16:15:00Z,198,302.66,39,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T16:30:00Z,167,302.58,39,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-02T16:45:00Z,125,302.48,39,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-02T17:00:00Z,88,302.22,41,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-02T17:15:00Z,58,301.86,42,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T17:30:00Z,31,301.55,43,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-09-02T17:45:00Z,11,301.02,45,0.0,0.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T18:00:00Z,0,300.43,46,0.0,0.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T18:15:00Z,0,299.65,49,0.0,0.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T18:30:00Z,0,298.64,53,0.0,0.4
SANPANCRAZIO,44.80806,10.27245,2023-09-02T18:45:00Z,0,297.97,55,0.0,0.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T19:00:00Z,0,297.19,57,0.0,0.5
SANPANCRAZIO,44.80806,10.27245,2023-09-02T19:15:00Z,0,296.63,59,0.0,0.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T19:30:00Z,0,296.27,61,0.0,0.2
SANPANCRAZIO,44.80806,10.27245,2023-09-02T19:45:00Z,0,295.67,64,0.0,0.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T20:00:00Z,0,295.07,66,0.0,1.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T20:15:00Z,0,294.85,67,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T20:30:00Z,0,294.79,67,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-09-02T20:45:00Z,0,295.05,67,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-09-02T21:00:00Z,0,295.11,68,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T21:15:00Z,0,294.96,69,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-09-02T21:30:00Z,0,294.75,69,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-09-02T21:45:00Z,0,294.6,70,0.0,1.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T22:00:00Z,0,294.35,70,0.0,0.6
SANPANCRAZIO,44.80806,10.27245,2023-09-02T22:15:00Z,0,293.99,71,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-09-02T22:30:00Z,0,294.18,70,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-02T22:45:00Z,0,294.23,70,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-09-02T23:00:00Z,0,294.21,70,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-09-02T23:15:00Z,0,294.04,70,0.0,2.4
SANPANCRAZIO,44.80806,10.27245,2023-09-02T23:30:00Z,0,293.85,71,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-09-02T23:45:00Z,0,293.75,71,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-09-03T00:00:00Z,0,293.63,71,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-09-03T00:15:00Z,0,293.49,72,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-09-03T00:30:00Z,0,293.27,72,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-09-03T00:45:00Z,0,293.12,73,0.0,2.5
SANPANCRAZIO,44.80806,10.27245,2023-09-03T01:00:00Z,0,293.02,74,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-09-03T01:15:00Z,0,293.16,73,0.0,2.8
SANPANCRAZIO,44.80806,10.27245,2023-09-03T01:30:00Z,0,293.13,73,0.0,2.4
SANPANCRAZIO,44.80806,10.27245,2023-09-03T01:45:00Z,0,293.03,73,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-09-03T02:00:00Z,0,292.96,73,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-09-03T02:15:00Z,0,292.91,73,0.0,2.9
SANPANCRAZIO,44.80806,10.27245,2023-09-03T02:30:00Z,0,292.89,73,0.0,2.8
SANPANCRAZIO,44.80806,10.27245,2023-09-03T02:45:00Z,0,292.77,73,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-09-03T03:00:00Z,0,292.58,75,0.0,2.3
