Data,Operazione,Ora inizio irrigazione (tutte le tesi),Ora fine irrigazione Tesi 2 (60%),Ora fine irrigazione Tesi 1 (100%),Ora fine irrigazione Tesi 3 (100%),Ora fine irrigazione tesi 4 (% variabile),Volume idrico orario (mm/ora),T1 - Volume idrico (mm),T1 - Ore irrigazione calcolata (n° ore),T2 - Volume idrico (mm),T2 - Ore irrigazione (n° ore),T3 - Volume idrico (mm),T3 - Ore irrigazione (n° ore)
2023-05-30,irrigazione uguale tutte le tesi,,,,,,1.778,14.2,8.0,14.2,8.0,14.2,8.0
2023-06-01,irrigazione uguale tutte le tesi,,,,,,1.778,10.7,6.0,10.7,6.0,10.7,6.0
2023-06-09,irrigazione uguale tutte le tesi,,,,,,1.778,7.1,4.0,7.1,4.0,7.1,4.0
2023-06-12,irrigazione uguale tutte le tesi,,,,,,1.778,7.1,4.0,7.1,4.0,7.1,4.0
2023-06-16,irrigazione uguale tutte le tesi,,,,,,1.778,10.7,6.0,10.7,6.0,10.7,6.0
2023-06-19,irrigazione uguale tutte le tesi,,,,,,1.778,10.7,6.0,10.7,6.0,10.7,6.0
2023-06-23,irrigazione uguale tutte le tesi,,,,,,1.778,10.7,6.0,10.7,6.0,10.7,6.0
2023-06-27,irrigazione uguale tutte le tesi,,,,,,1.778,10.7,6.0,10.7,6.0,10.7,6.0
2023-06-29,irrigazione uguale tutte le tesi,,,,,,1.778,10.7,6.0,10.7,6.0,10.7,6.0
2023-07-04,irrigazione uguale tutte le tesi,,,,,,1.778,10.7,6.0,10.7,6.0,10.7,6.0
2023-07-05,irrigazione uguale tutte le tesi,,,,,,1.778,7.1,4.0,7.1,4.0,7.1,4.0
2023-07-08,fertirrigazione uguale tutte le tesi,,,,,,1.778,3.6,2.0,3.6,2.0,3.6,2.0
2023-07-10,inizio irrigazione differenziata,12:30,15:30,17:30,,,1.778,8.9,5.0,5.3,3.0,2.7,1.5
2023-07-12,,15:15,18:45,21:15,21:15,20:15,1.778,10.7,6.0,6.4,3.6,3.2,1.8
2023-07-14,,10:30,14:00,15:30,,,1.778,10.7,6.0,6.4,3.6,3.2,1.8
2023-07-17,,10:15,14:15,16:45,16:45,16:45,1.778,11.6,6.5,6.9,3.9,3.5,2.0
2023-07-19,,9:00,13:15,16:00,16:00,13:15,1.778,12.4,7.0,7.5,4.2,3.7,2.1
2023-07-21,,12:00,19:15,0:00,0:00,1:15,1.778,21.3,12.0,12.8,7.2,6.4,3.6
2023-07-24,,14:30,18:00,20:30,20:30,,1.778,10.7,6.0,6.4,3.6,3.2,1.8
2023-07-28,,13:30,17:00,17:00,17:00,17:00,1.778,6.2,3.5,3.7,2.1,1.9,1.1
2023-07-29,,10:30,13:30,18:00,18:00,13:30,1.778,13.3,7.5,8.0,4.5,4.0,2.3
2023-07-31,,12:00,17:00,20:00,,,1.778,14.2,8.0,8.5,4.8,4.3,2.4
2023-08-02,,10:30,15:30,18:30,18:30,14:30,1.778,14.2,8.0,8.5,4.8,4.3,2.4
2023-08-08,,10:00,15:00,18:00,18:00,14:00,1.778,14.2,8.0,8.5,4.8,4.3,2.4
2023-08-11,,15:30,19:30,19:30,16:30,16:30,1.778,7.1,4.0,4.3,2.4,2.1,1.2
2023-08-12,,10:30,11:30,14:30,,,1.778,7.1,4.0,4.3,2.4,2.1,1.2
2023-08-14,,14:30,17:00,18:30,18:30,17:45,1.778,7.1,4.0,4.3,2.4,2.1,1.2
2023-08-18,,13:00,17:15,20:00,,,1.778,12.4,7.0,7.5,4.2,3.7,2.1
2023-08-22,,9:00,14:00,17:00,17:00,17:00,1.778,14.2,8.0,8.5,4.8,4.3,2.4
2023-08-25,,10:30,15:30,18:30,18:30,14:30,1.778,14.2,8.0,8.5,4.8,4.3,2.4
